,Chembl_ID,IC50,units,SMILES,S_MOE,pIC50,activo,S_Ledock,S_VINA,NHA,LE_MOE,LE_Ledock,LE_VINA,logP,LELP_MOE,LELP_Ledock,LELP_VINA
151,CHEMBL24003,100.0,nM,Brc1c(OCC(=O)O)c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4c3cccc4)cc2)c1,-7.1632581,7.0,1,-6.05,-6.6,35,0.20466451714285716,0.17285714285714285,0.18857142857142856,8.8145,43.068041901212524,50.992975206611575,46.74356060606061
152,CHEMBL431992,54700.0,nM,O=C(OCC1c2c(-c3c1cccc3)cccc2)NC(C(=O)NC(C(=O)NC(C(=O)N)CC(C)C)Cc1cc(C(=O)O)c(OCC(=O)O)cc1)CCC(=O)O,-9.4656725,4.262012673666569,1,-8.42,-8.1,54,0.17529023148148148,0.1559259259259259,0.15,2.663800000000001,15.196511394198359,17.08375296912115,17.758666666666674
153,CHEMBL281687,1600.0,nM,FC(F)(F)c1ccc(-c2oc(C)c(-c3cc(-c4ccc(OC(C(=O)O)Cc5ccccc5)cc4)ccc3)n2)cc1,-7.2350478,5.795880017344075,1,-4.96,-7.0,40,0.18087619500000002,0.124,0.175,8.077520000000007,44.65772845343195,65.1412903225807,46.15725714285718
154,CHEMBL23989,330.0,nM,Brc1c(O)ccc2c1ccc(Cc1c(CCCC)oc3c1cccc3)c2,-6.1961436,6.481486060122112,1,-5.38,-8.1,26,0.2383132153846154,0.20692307692307693,0.31153846153846154,6.987500000000006,29.32065680337043,33.76858736059482,22.42901234567903
155,CHEMBL25178,1160.0,nM,S(=O)(=O)(Oc1ccc(-c2ccc(-c3c4c(oc3)cccc4)cc2)cc1)c1cc(OC(=O)C)c(C(=O)O)cc1,-6.8194718,5.935542010773082,1,-5.18,-7.7,38,0.1794597842105263,0.1363157894736842,0.2026315789473684,6.158000000000006,34.314094531485594,45.17451737451742,30.3901298701299
156,CHEMBL26554,290.0,nM,O=C(O)C(Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4c3cccc4)cc2)cc1)(Cc1ccccc1)C,-6.6808004,6.537602002101044,1,-5.39,-8.4,41,0.1629463512195122,0.13146341463414635,0.20487804878048782,8.822400000000002,54.14297364728934,67.1091651205937,43.06171428571429
157,CHEMBL1086226,38.0,nM,Brc1c(OC(C(=O)O)Cc2ccccc2)c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4c3cccc4)cc2)c1,-6.6679645,7.42021640338319,1,-6.0,-8.0,42,0.15876105952380953,0.14285714285714285,0.19047619047619047,9.957299999999993,62.71878022146034,69.70109999999995,52.27582499999997
158,CHEMBL193134,400.0,nM,O=C(O)C(Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4c3cccc4)cc2)cc1)c1ccccc1,-6.6618872,6.3979400086720375,1,-5.75,-8.8,39,0.1708176205128205,0.14743589743589744,0.22564102564102567,8.562300000000004,50.12539089524064,58.07473043478264,37.94655681818183
159,CHEMBL1084830,1320.0,nM,O=C(O)C(Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4c3cccc4)cc2)cc1)C,-7.4575844,5.8794260687941495,1,-6.06,-8.8,34,0.2193407176470588,0.17823529411764705,0.25882352941176473,7.209500000000006,32.8689541884367,40.449339933993436,27.854886363636382
160,CHEMBL24712,520.0,nM,Ic1c(O)c(I)cc(-c2ccc(-c3c(Cc4ccccc4)sc4c3cccc4)cc2)c1,-6.2072086,6.2839966563652006,1,-5.69,-7.4,31,0.200232535483871,0.1835483870967742,0.23870967741935484,8.7409,43.653744776677875,47.62177504393673,36.61728378378378
161,CHEMBL1086228,230.0,nM,O=[N+]([O-])c1c(OC(C(=O)O)Cc2ccccc2)ccc(-c2ccc(-c3c(Cc4ccccc4)oc4c3cccc4)cc2)c1,-6.8173237,6.638272163982407,1,-5.84,-8.2,43,0.15854241162790697,0.13581395348837208,0.19069767441860463,8.340500000000006,52.60737435718364,61.411215753424706,43.73676829268296
162,CHEMBL316175,8300.0,nM,O=C(OCC1c2c(-c3c1cccc3)cccc2)NC(C(=O)NC(C(=O)NC(C(=O)N)CC(C)C)Cc1cc(C(=O)O)c(OCC(=O)O)cc1)CCC(=O)OCc1ccccc1,-8.5669203,5.080921907623926,1,-7.87,-6.7,61,0.14044131639344262,0.12901639344262295,0.1098360655737705,4.322600000000002,30.778691847991176,33.504269377382485,39.355014925373155
163,CHEMBL313894,4600.0,nM,O=C(OCC1c2c(-c3c1cccc3)cccc2)NC(C(=O)NC(C(=O)NC(C(=O)N)CC(C)C)Cc1ccc(OCC(=O)O)cc1)CCC(=O)OCc1ccccc1,-9.1865253,5.337242168318426,1,-8.66,-7.4,58,0.1583883672413793,0.1493103448275862,0.12758620689655173,4.624400000000002,29.196588616590446,30.971732101616645,36.24529729729731
164,CHEMBL1082297,53.0,nM,O=C(O)C(Oc1c(-c2ccc(OC)cc2)cc(-c2ccc(-c3c(Cc4ccccc4)sc4c3cccc4)cc2)cc1)Cc1ccccc1,-6.8325315,7.275724130399211,1,-5.23,-7.6,48,0.14234440625,0.10895833333333334,0.15833333333333333,10.576399999999992,74.30147961996218,97.06829827915863,66.79831578947363
165,CHEMBL278092,29.0,nM,Brc1c(OCC(=O)O)c(-c2ccc(OC)cc2)cc(-c2ccc(-c3c(Cc4ccccc4)sc4c3cccc4)cc2)c1,-6.5648055,7.537602002101044,1,-5.76,-7.3,42,0.15630489285714286,0.13714285714285715,0.1738095238095238,9.727599999999994,62.23477603411094,70.93041666666662,55.967013698630105
166,CHEMBL280388,650.0,nM,Brc1c(O)c(Br)cc(-c2ccc(-c3c(C)oc(-c4ccc(C(F)(F)F)cc4)n3)cc2)c1,-5.7546735,6.187086643357144,1,-5.62,-8.2,31,0.18563462903225805,0.18129032258064517,0.264516129032258,8.233420000000004,44.352823839614906,45.41566192170821,31.126343902439046
167,CHEMBL24201,1300.0,nM,Oc1cc2c(cc(Cc3c(CCCC)oc4c3cccc4)cc2)cc1,-5.7367082,5.886056647693163,1,-5.3,-8.4,25,0.229468328,0.212,0.336,6.225000000000005,27.127926778635896,29.363207547169836,18.52678571428573
168,CHEMBL25821,1100.0,nM,OC(c1c(CCCC)oc2c1cccc2)c1cc2c(cc(O)cc2)cc1,-5.7355323,5.958607314841775,1,-4.99,-8.0,26,0.22059739615384616,0.19192307692307692,0.3076923076923077,5.715900000000005,25.911003935938105,29.78224448897798,18.576675000000016
169,CHEMBL286007,740.0,nM,Oc1ccc(-c2ccc(-c3c(CCCC)oc4c3cccc4)cc2)cc1,-5.6054034,6.130768280269024,1,-5.24,-7.2,26,0.21559243846153847,0.20153846153846156,0.27692307692307694,6.815000000000006,31.610570614775046,33.81488549618323,24.609722222222242
