Chembl_ID,IC50,units,SMILES,S_MOE,pIC50,activo,S_Ledock,S_VINA
CHEMBL492413,770,nM,O=C(OC1C(OC(=O)c2ccccc2)C(CNC(=O)c2c(C(=O)O)cccc2)OC(c2c(OC)c3c(c(OC)c2)cccc3)C1OC(=O)c1ccccc1)c1ccccc1,-7.9910302,6.113509275,1,-7.16,-7.1
CHEMBL504726,4130,nM,O=C(OC1C(OC(=O)c2ccccc2)C(c2c(OC)ccc(OC)c2)OC(CNC(=O)c2ccccc2)C1O)c1ccccc1,-6.8557396,5.384049948,1,-6.83,-7.3
CHEMBL454521,4520,nM,O=C(OC1C(OC(=O)c2ccccc2)C(OC(=O)c2ccccc2)C(c2c(OC)ccc(OC)c2)OC1CNC(=O)c1ccccc1)C,-6.2776694,5.344861565,1,-6.97,-6.6
CHEMBL451520,5270,nM,O=C(OC1=C(c2c(O)ccc(O)c2)OC(CNC(=O)c2ccccc2)C(O)C1OC(=O)c1ccccc1)c1ccccc1,-6.3603497,5.278189385,1,-7.08,-7.3
CHEMBL455693,125000,nM,O=C(O)c1c(O)c(-c2ccccc2)cc(C=Cc2cc(C(=O)O)c(O)cc2)c1,-6.8959894,3.903089987,0,-6.04,-8.5
CHEMBL508948,34000,nM,O=C(O)c1c(O)ccc(C=Cc2ccccc2)c1,-6.4113812,4.468521083,1,-4.78,-7.9
CHEMBL453899,30000,nM,Brc1c(O)c(C(=O)O)cc(C=Cc2ccccc2)c1,-6.3612652,4.522878745,1,-5.15,-7.5
CHEMBL450560,13000,nM,O=C(O)c1c(O)c(-c2ccccc2)cc(C=Cc2ccccc2)c1,-6.6585736,4.886056648,1,-5,-8.9
CHEMBL453874,32000,nM,O=C(O)c1c(O)ccc(C=Cc2cc(O)c(C(=O)O)cc2)c1,-6.3564568,4.494850022,1,-5.32,-7.6
CHEMBL453861,64000,nM,Brc1c(O)c(C(=O)O)cc(C=Cc2cc(O)c(C(=O)O)cc2)c1,-6.5053496,4.193820026,1,-5.52,-7.7
CHEMBL509720,194000,nM,O=C(O)c1c(OC)c(-c2occc2)cc(C=Cc2cc(O)c(C(=O)O)cc2)c1,-6.7334466,3.71219827,0,-5.47,-7.7
CHEMBL185726,5000,nM,O=C(O)c1c(O)ccc(C=Cc2ccc(C=Cc3cc(C(=O)O)c(O)cc3)cc2)c1,-6.773118,5.301029996,1,-5.44,-7
CHEMBL455694,3000,nM,Brc1c(O)c(C(=O)O)cc(C=Cc2ccc(C=Cc3cc(Br)c(O)c(C(=O)O)c3)cc2)c1,-6.7923536,5.522878745,1,-4.71,-6.1
CHEMBL453868,530,nM,O=C(O)c1c(O)c(-c2occc2)cc(C=Cc2ccc(C=Cc3cc(C(=O)O)c(O)c(-c4occc4)c3)cc2)c1,-6.9854736,6.27572413,1,-4.38,-5.2
CHEMBL461734,6000,nM,Brc1c(O)c(C(=O)O)cc(C=Cc2c(OC)cc(C=Cc3cc(Br)c(O)c(C(=O)O)c3)cc2)c1,-6.9142547,5.22184875,1,-4.83,-5.7
CHEMBL445194,4000,nM,O=C(O)c1c(O)c(-c2occc2)cc(C=Cc2c(OC)cc(C=Cc3cc(C(=O)O)c(O)c(-c4occc4)c3)cc2)c1,-6.8204689,5.397940009,1,-4.3,-5.6
CHEMBL506882,4600,nM,O(CCN(CC)CC)c1ccc(-c2oc3c(n2)c2c(cc3)cccc2)cc1,-5.9398961,5.337242168,1,-5.04,-7
CHEMBL456025,5710,nM,O(CCN1CCCC1)c1ccc(-c2oc3c(n2)c2c(cc3)cccc2)cc1,-5.9481649,5.243363892,1,-5.13,-7.3
CHEMBL467572,1900,nM,O(CCN1CCCCC1)c1ccc(-c2oc3c(n2)c2c(cc3)cccc2)cc1,-5.8025436,5.721246399,1,-5.11,-7.4
CHEMBL512442,2500,nM,O(CCN(CCCC)C)c1ccc(-c2oc3c(n2)c2c(cc3)cccc2)cc1,-6.3038783,5.602059991,1,-5.22,-6.6
CHEMBL510460,3500,nM,O(CCCN(C)C)c1ccc(-c2oc3c(n2)c2c(cc3)cccc2)cc1,-5.9303832,5.455931956,1,-4.84,-6.8
CHEMBL458009,3400,nM,O(CCCN(CC)CC)c1ccc(-c2oc3c(n2)c2c(cc3)cccc2)cc1,-6.2539167,5.468521083,1,-5.07,-6.8
CHEMBL510225,3560,nM,O(CCN(C)C)c1ccc(-c2oc3c(n2)c2c(cc3)cccc2)cc1,-5.8883481,5.448550002,1,-4.88,-6.9
CHEMBL460643,39500,nM,O(C)C=1C(=O)C(CC2(C)C(C)C3C(C)(C(C)=CCC3)CC2)=CC(=O)C=1,-5.1232157,4.403402904,1,-4.5,-7.3
CHEMBL517216,6700,nM,S(=O)(=O)(O)CC=Nc1c(O)c(CC2(C)C(C)C3C(C)(C(C)=CCC3)CC2)c(O)c(O)c1,-7.2480421,5.173925197,1,-7.42,-7.9
CHEMBL401612,19500,nM,S(=O)(=O)(N=C1Sc2c(N1)ccc(C)c2)c1ccc([N+](=O)[O-])cc1,-6.2024045,4.709965389,1,-7.43,-7.7
CHEMBL401525,40900,nM,S(=O)(=O)(N=C1Sc2c(N1)ccc(OCC)c2)c1ccc([N+](=O)[O-])cc1,-6.2547584,4.388276692,1,-7.43,-7.3
CHEMBL550291,6860,nM,O(C)c1cc(Oc2c(O)cc(O)cc2CCCCC)c2C(=O)OC(OC)(CCCC)c2c1,-6.2433929,5.163675884,1,-6.67,-7.3
CHEMBL551842,870,nM,O=C(O)c1c(CCCCC)c2Oc3c(c(C(=O)CCCC)cc(OC)c3)C(=O)Oc2cc1O,-6.8142757,6.060480747,1,-6.53,-6.9
CHEMBL558886,2480,nM,O=C(O)c1c(CCCCC)c(Oc2c3C(=O)OC(OC)(CCCC)c3cc(OC)c2)c(O)cc1O,-6.5341678,5.605548319,1,-5.5,-5.5
CHEMBL173395,63500,nM,O=C(OC)c1c(O)c(C)c(OC(=O)c2c(O)c(C=O)c(O)cc2C)cc1C,-6.545795,4.197226275,1,-5.7,-7.3
CHEMBL559457,3020,nM,O=C(OC)c1c(CCCCC)c2Oc3c(c(C(=O)CCCC)cc(OC)c3)C(=O)Oc2cc1O,-6.8916364,5.519993057,1,-5.97,-7.2
CHEMBL562970,7420,nM,O=C(OC)c1c(CCCCC)c2Oc3c(c(C(=O)CCCC)cc(OC)c3)C(=O)Oc2cc1OC,-6.4747872,5.129596095,1,-6.48,-6.8
CHEMBL549911,41000,nM,S(=O)(=O)(Nc1c(Nc2ccc(C(=O)O)cc2)cc2c(c1)cccc2)c1ccc(F)cc1,-6.6275201,4.387216143,1,-6.2,-8.1
CHEMBL549640,34000,nM,Clc1c(C(=O)O)cc(-c2oc(CC=3C(=O)N(c4ccccc4)C(=O)N=3)cc2)cc1,-6.2238793,4.468521083,1,-6.37,-7.8
CHEMBL565229,35000,nM,Clc1c(C)ccc(N2C(=O)C(=Cc3n(CCOc4c(OC)cc(C)cc4)ccc3)C(=O)NC2=O)c1,-6.716898,4.455931956,1,-5.7,-7.5
CHEMBL564123,12000,nM,O=C1N(c2ccccc2)C(=O)NC(=O)C1=Cc1c2c(n(Cc3c4c(ccc3)cccc4)c1)cccc2,-6.5072637,4.920818754,1,-6.19,-8.2
CHEMBL559479,22000,nM,Clc1c(COc2c(C=C3C(=O)ON=C3c3ccccc3)cccc2)cccc1,-5.6260638,4.657577319,1,-5.3,-8.1
CHEMBL557446,11000,nM,Brc1c(OCc2ccc(F)cc2)ccc(C=C2C(=O)NC(=O)S2)c1,-6.4490499,4.958607315,1,-8.97,-9
CHEMBL552066,27000,nM,O=C(Nc1cc2c(cc1)cccc2)C(C#N)=Cc1oc(-c2c(C(=O)O)cccc2)cc1,-6.3479443,4.568636236,1,-5.53,-8.2
CHEMBL564092,28000,nM,O(CC)c1ccc(-c2nc(C(C#N)CNc3cc4c(OC(=O)C=C4)cc3)sc2)cc1,-6.6353965,4.552841969,1,-6.28,-7.8
CHEMBL556909,25000,nM,O=C(O)c1cc(-c2oc(C3=NC(=O)c4c(sc5c4CCCC5)N3)cc2)ccc1,-6.9874482,4.602059991,1,-6.31,-8.5
CHEMBL559312,429,nM,O=C(Nc1cc2c(cc1)COC(C(=O)O)C2)CCCCc1sccc1,-8.1143198,6.367542708,1,-6.33,-8.2
CHEMBL564699,164.7,nM,O=C(Nc1cc2c(cc1)COC(C(=O)O)C2)CCCCC1SC(C)(C)SC1,-8.573534,6.783306401,1,-6.1,-8.1
CHEMBL556636,135.7,nM,O=C(Nc1cc2c(cc1)CC(C(=O)O)OC2)CCCCC1SC(C)(C)SC1,-8.1256733,6.867420152,1,-6.75,-8.2
CHEMBL557393,104.3,nM,O=C(Nc1cc2c(cc1)COC(C(=O)O)C2)CCCCC1SSCC1,-7.9721026,6.981715692,1,-6.81,-8.3
CHEMBL549297,2897,nM,O=C(Nc1cc2c(cc1)COC(C(=O)O)C2)CCCCC1SCC2NC(=O)NC12,-8.3269005,5.538051505,1,-6.91,-8.4
CHEMBL549505,2753,nM,O=C(Nc1cc2c(cc1)CC(C(=O)O)OC2)CCCCC1SCC2NC(=O)NC12,-8.5277376,5.560193789,1,-6.52,-8.5
